epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.22,1.155,2.51347,1.59304,0.52115,0.16212,0.23433,0.11267,1.77787,4.39648,2.48906,0.000199715,0.000199715,0.0802282
2,549.412,1.16046,1.92819,1.58951,0.41353,0.24831,0.29605,0.15431,1.61217,2.9318,2.20835,0.000399617,0.000399617,0.0604281
3,819.073,1.14322,1.78064,1.57525,0.61377,0.51159,0.58333,0.37472,1.29381,1.66374,1.87629,0.000599129,0.000599129,0.0406276
4,1087.75,1.10328,1.63924,1.53867,0.67778,0.56526,0.64407,0.40053,1.39673,1.54989,1.97653,0.000797958,0.000797958,0.0208264
5,1358.74,1.08631,1.57267,1.52569,0.68711,0.64275,0.70148,0.4493,1.29241,1.29992,1.84193,0.000995813,0.000995813,0.0010243
6,1631.35,1.06727,1.50442,1.5104,0.72316,0.67752,0.73712,0.49512,1.1786,1.21332,1.75368,0.000993906,0.000993906,0.000993906
7,1901.14,1.04569,1.43593,1.49174,0.73636,0.67629,0.75065,0.52057,1.137,1.09471,1.69969,0.000991232,0.000991232,0.000991232
8,2180.73,1.0286,1.38451,1.47705,0.75242,0.68674,0.77553,0.55433,1.09622,0.98169,1.68382,0.000988079,0.000988079,0.000988079
9,2453.18,1.02092,1.33369,1.46857,0.77296,0.70113,0.79128,0.56962,1.0922,1.00385,1.69129,0.000984449,0.000984449,0.000984449
10,2722.28,1.00042,1.29063,1.45238,0.78471,0.71725,0.79904,0.57556,1.05105,0.95231,1.62613,0.000980345,0.000980345,0.000980345
11,2991.03,0.99348,1.25037,1.44306,0.84481,0.73767,0.82748,0.57755,1.0988,0.8681,1.68095,0.000975773,0.000975773,0.000975773
12,3259.82,0.98384,1.22767,1.43862,0.82407,0.77124,0.83667,0.59984,1.07337,0.82528,1.62873,0.000970736,0.000970736,0.000970736
